"scene_number","scene_heading","source_principale","reference_iliade","degre_fidelite","libelle_degre","regle","justification","a_relire"
"153","INT. ACHILLES' TENT - CONTINUOUS","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","True"
"154","EXT. BEACH ENCAMPMENT - NIGHT","L'Iliade","Chant XXIV","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"155","INT. ACHILLES' TENT - NIGHT","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","True"
"156","EXT. TROJAN BEACH - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"157","INT. ACHILLES' TENT - NIGHT","L'Iliade","Chant XXIV","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"158","EXT. ACHILLES' TENT - MOMENTS LATER - NIGHT","L'Iliade","Chant XXIV","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"159","INT. ACHILLES' TENT - LATER - NIGHT","L'Iliade","Chant XXIV","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"160","EXT. BEACH ENCAMPMENT - CONTINUOUS","L'Iliade","Chant XXIV","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"161","INT. AGAMEMNON'S TENT - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"162","EXT. CAMPFIRE - DAY","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"163","EXT. AGAMEMNON'S TENT - DAY","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"164","EXT. MAIN SQUARE OF TROY - NIGHT","L'Iliade","Chant XXIV","1","reprise fidèle","default","Source Iliade avec référence renseignée : reprise fidèle par défaut avant arbitrage.","False"
"166","EXT. ACHILLES' TENT - LATER","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Achille vivant et actif pendant le sac : la chronologie cyclique dominante place la mort d'Achille avant la prise de Troie.","True"
"167","EXT. GUARD TOWER - DAWN","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"168","EXT. BEACH ENCAMPMENT - DAY","Héritage Gréco-Romain","","4","invention contradictoire","override_contradiction","Énée anonymisé et Épée de Troie : Énée est déjà un héros important dans l'Iliade, puis Virgile amplifie sa destinée ; le film réduit cette fonction.","True"
"169","EXT. BATTLEFIELD - DAY","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"170","EXT. GATES OF TROY - DAY","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"171","EXT. MAIN SQUARE OF TROY - DAY","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"172","EXT. BEACH ENCAMPMENT - DUSK","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"173","EXT. CLIFFS OF HELLESPONT - NIGHT","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"174","EXT. MAIN SQUARE OF TROY - NIGHT","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Achille vivant et actif pendant le sac : la chronologie cyclique dominante place la mort d'Achille avant la prise de Troie.","True"
"175","EXT. GUARD TOWER - CONTINUOUS","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"176","EXT. GATES OF TROY - CONTINUOUS","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Énée anonymisé et Épée de Troie : Énée est déjà un héros important dans l'Iliade, puis Virgile amplifie sa destinée ; le film réduit cette fonction.","True"
"177","EXT. PALACE OF TROY - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"178","EXT. TROY - NIGHT","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Achille vivant et actif pendant le sac : la chronologie cyclique dominante place la mort d'Achille avant la prise de Troie.","True"
"179","INT. PRIAM'S MEETING HALL - NIGHT","Héritage Gréco-Romain","","4","invention contradictoire","override_contradiction","Énée anonymisé et Épée de Troie : Énée est déjà un héros important dans l'Iliade, puis Virgile amplifie sa destinée ; le film réduit cette fonction.","True"
"180","EXT. TROJAN ARMORY - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"181","EXT. TROJAN STREETS - NIGHT","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Achille vivant et actif pendant le sac : la chronologie cyclique dominante place la mort d'Achille avant la prise de Troie.","True"
"182","INT. PALACE HALLWAYS - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"183","EXT. MAIN SQUARE OF TROY - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"184","INT. PARIS'S BEDCHAMBER - NIGHT","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Pâris survivant jusqu'à la fuite finale : la Petite Iliade place la mort de Pâris avant la chute de Troie, tué par Philoctète. | Hélène fuyant avec les Troyens : la tradition dominante fait revenir Hélène auprès de Ménélas après la chute de Troie.","True"
"185","EXT. STREETS OF TROY - NIGHT","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"186","EXT. PALACE GARDEN - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"187","INT. PALACE OF TROY - SUBTERRANEAN LEVEL - NIGHT","Héritage Gréco-Romain","","4","invention contradictoire","override_contradiction","Pâris survivant jusqu'à la fuite finale : la Petite Iliade place la mort de Pâris avant la chute de Troie, tué par Philoctète. | Hélène fuyant avec les Troyens : la tradition dominante fait revenir Hélène auprès de Ménélas après la chute de Troie. | Énée anonymisé et Épée de Troie : Énée est déjà un héros important dans l'Iliade, puis Virgile amplifie sa destinée ; le film réduit cette fonction.","True"
"188","INT. PALACE OF TROY - NIGHT","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée.","True"
"189","EXT. PALACE OF TROY - NIGHT","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Achille vivant et actif pendant le sac : la chronologie cyclique dominante place la mort d'Achille avant la prise de Troie.","True"
"190","EXT. PALACE STAIRS - NIGHT","Le Cycle Troyen","","2","déplacement","default","Source antique hors Iliade : déplacement ou recomposition par défaut avant arbitrage.","True"
"191","INT. PALACE - RECEPTION HALL - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"192","INT. MEETING HALL - NIGHT","Héritage Gréco-Romain","","4","invention contradictoire","override_contradiction","Agamemnon tué à Troie par Briséis : Agamemnon meurt au retour dans la tradition majeure, notamment chez Eschyle, non à Troie.","True"
"193","INT. SHRINE OF ZEUS - NIGHT","Adaptation Cinéma","","3","invention sur fond emprunté","default","Adaptation cinéma : invention sur fond emprunté par défaut.","True"
"194","EXT. PALACE GARDEN - NIGHT","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Agamemnon tué à Troie par Briséis : Agamemnon meurt au retour dans la tradition majeure, notamment chez Eschyle, non à Troie.","True"
"195","INT. PALACE HALLWAYS - NIGHT","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Achille vivant et actif pendant le sac : la chronologie cyclique dominante place la mort d'Achille avant la prise de Troie.","True"
"196","EXT. PALACE GARDEN - NIGHT","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée. | Agamemnon tué à Troie par Briséis : Agamemnon meurt au retour dans la tradition majeure, notamment chez Eschyle, non à Troie.","True"
"197","INT. PALACE - NIGHT","Adaptation Cinéma","","4","invention contradictoire","override_contradiction","Agamemnon tué à Troie par Briséis : Agamemnon meurt au retour dans la tradition majeure, notamment chez Eschyle, non à Troie.","True"
"198","EXT. PALACE GARDEN - NIGHT","Héritage Gréco-Romain","","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée. | Agamemnon tué à Troie par Briséis : Agamemnon meurt au retour dans la tradition majeure, notamment chez Eschyle, non à Troie.","True"
"199","INT. PALACE - CONTINUOUS","Le Cycle Troyen","","4","invention contradictoire","override_contradiction","Pâris survivant jusqu'à la fuite finale : la Petite Iliade place la mort de Pâris avant la chute de Troie, tué par Philoctète.","True"
"200","EXT. PALACE GARDEN - CONTINUOUS","Héritage Gréco-Romain","","4","invention contradictoire","override_contradiction","Briséis princesse troyenne ou cousine d'Hector : Briséis est homérique comme captive d'Achille, mais sa généalogie troyenne filmique est inventée. | Achille vivant et actif pendant le sac : la chronologie cyclique dominante place la mort d'Achille avant la prise de Troie. | Pâris survivant jusqu'à la fuite finale : la Petite Iliade place la mort de Pâris avant la chute de Troie, tué par Philoctète.","True"
"201","EXT. MAIN SQUARE OF TROY - DAWN","Héritage Gréco-Romain","","4","invention contradictoire","override_contradiction","Achille vivant et actif pendant le sac : la chronologie cyclique dominante place la mort d'Achille avant la prise de Troie. | Agamemnon tué à Troie par Briséis : Agamemnon meurt au retour dans la tradition majeure, notamment chez Eschyle, non à Troie.","True"
"202","EXT. SCAMANDER RIVER - DAWN","Héritage Gréco-Romain","","4","invention contradictoire","override_contradiction","Pâris survivant jusqu'à la fuite finale : la Petite Iliade place la mort de Pâris avant la chute de Troie, tué par Philoctète. | Hélène fuyant avec les Troyens : la tradition dominante fait revenir Hélène auprès de Ménélas après la chute de Troie. | Énée anonymisé et Épée de Troie : Énée est déjà un héros important dans l'Iliade, puis Virgile amplifie sa destinée ; le film réduit cette fonction.","True"
